City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,nizhniy tsasuchey,50.5167,115.1333,3.49,84,12,6.22,RU,1675563982
308,maltahohe,-24.8333,16.9833,74.25,27,100,9.66,NA,1675563983
309,genhe,50.7833,121.5167,-6.3,98,99,2.13,CN,1675563983
310,bulungu,-4.55,18.6,70.84,87,100,3.02,CD,1675563984
311,progreso,21.2833,-89.6667,71.11,78,79,14.52,MX,1675563984
312,touros,-5.1989,-35.4608,79.48,80,16,11.81,BR,1675563985
313,aksarka,66.5606,67.7975,-5.22,100,53,2.57,RU,1675563986
314,nanakuli,21.3906,-158.1547,78.75,65,20,10.36,US,1675563986
315,vestmannaeyjar,63.4427,-20.2734,42.21,92,100,34.07,IS,1675563987
316,wuzhou,23.4833,111.3167,58.57,93,100,4.05,CN,1675563989
317,hami,42.8,93.45,30.78,35,100,5.39,CN,1675563989
318,bradenton,27.4989,-82.5748,67.01,61,0,11.5,US,1675563983
319,iringa,-7.7667,35.7,57.51,91,99,2.62,TZ,1675563992
320,dickinson,29.4608,-95.0513,56.08,87,0,5.75,US,1675563992
321,mariental,-24.6333,17.9667,78.24,28,100,16.71,NA,1675563993
322,ilo,-17.6394,-71.3375,72.95,85,26,0.78,PE,1675563993
323,tiksi,71.6872,128.8694,-24.29,100,100,2.68,RU,1675563994
324,necochea,-38.5473,-58.7368,58.95,83,0,10.16,AR,1675563705
325,bereznik,62.8551,42.7072,-2.49,100,99,1.81,RU,1675563995
326,belyy yar,53.6039,91.3903,-11.31,84,40,2.24,RU,1675563995
327,teya,60.3778,92.6267,4.71,99,98,3.11,RU,1675563996
328,gornopravdinsk,60.05,69.9,-2.65,99,99,3.69,RU,1675563996
329,itaituba,-4.2761,-55.9836,74.5,98,100,1.43,BR,1675563997
330,sungairaya,0.7,108.9,81.57,75,100,3.13,ID,1675563997
331,liuli,-11.0833,34.6333,75.16,80,100,3.15,TZ,1675563998
332,thomaston,32.8882,-84.3266,46.18,46,0,5.75,US,1675563998
333,jiuquan,39.7432,98.5174,27.07,42,95,3.69,CN,1675563999
334,mokrous,51.2333,47.5167,10.9,97,78,4.81,RU,1675563999
335,aksu,41.1231,80.2644,18.07,83,83,2.48,CN,1675564000
336,kasba,25.85,87.55,56.48,59,0,5.37,IN,1675564000
337,garowe,8.4054,48.4845,62.58,84,100,6.67,SO,1675564001
